;Phrases;Hate Speech(0);Discriminative(1);Nötr(2);Value;
Açık saçık giyinmek;12;56;32;1;
Adam olmak;2;62;36;1;
Adamın dibi;4;56;42;1;
Ana kuzusu;10;58;32;1;
Avrat;4;34;62;2;
Bayan;6;60;34;1;
Bilim adamı;0;94;6;1;
Dönme;78;91;0;3;
Dul kadın;48;90;10;1;
Eksik etek;58;100;0;3;
Elinin hamuru;4;94;2;1;
Erkek adam;2;72;28;1;
Erkek annesi;0;14;86;2;
Erkek dediğin;2;86;14;1;
Erkek gibi;2;88;12;1;
Erkek milleti;8;90;10;1;
Erkek sözü;2;96;4;1;
Fahişe;96;62;4;3;
Genç kız;2;52;48;1;
Görücüye çıkmak;0;78;22;1;
Hanım evladı;32;86;6;1;
Hanım hanımcık;8;82;14;1;
Hanım köylü;18;92;4;1;
İbne;96;92;4;3;
İş adamı;0;94;6;1;
Kadın aklı;34;80;20;1;
Kadın başına;12;94;6;1;
Kadın dediğin;2;84;16;1;
Kadın dırdırı;18;86;10;1;
Kadın gibi;8;80;18;1;
Kadın kısmı;4;94;6;1;
Kadın milleti;8;96;2;1;
Kaltak;94;88;2;3;
Karı;4;56;44;1;
Karı dırdırı;22;88;6;1;
Karı kılıklı;76;96;2;3;
Kaşarlık;88;72;8;3;
Kaşık düşmanı;74;98;0;3;
Kezbanlık;34;92;8;1;
Kız almak;12;84;6;1;
Kız babası;4;36;64;2;
Kız başına;42;88;10;1;
Kız istemek;12;84;16;1;
Kız kısmı;6;90;8;1;
Kız vermek;12;84;14;1;
Kızlık soyadı;2;62;38;1;
Koca parası;8;72;26;1;
Kokona;44;64;12;1;
Orospu;96;92;4;3;
Saçı uzun aklı kısa;78;98;0;3;
Sürtük;82;64;4;3;
Top;90;88;2;3;
Yosma;80;78;8;3;
Yollu;82;72;10;3;
Yumuşak;80;88;8;3;
;;;;;
;;;;;
